id,source_label,source_id,target_label,target_id,relation
1,USER,5cfe8d98-1386-4550-a633-8d308ed64c14,GROUP,66b3aa59-dba6-44d7-b85c-1ece33cc1264,belong_to
1,GROUP,66b3aa59-dba6-44d7-b85c-1ece33cc1264,USER,5cfe8d98-1386-4550-a633-8d308ed64c14,part_off
2,USER,21f5f51c-b6fa-4a87-b99a-c51a74e6b0d6,GROUP,b78a03de-963f-4973-ab8b-a5e5b8457f4b,belong_to
2,GROUP,b78a03de-963f-4973-ab8b-a5e5b8457f4b,USER,21f5f51c-b6fa-4a87-b99a-c51a74e6b0d6,part_off
3,USER,e6b850ee-d389-457c-adba-190f0295fbb2,GROUP,99adca1c-79d3-4615-976b-a284193c0656,belong_to
3,GROUP,99adca1c-79d3-4615-976b-a284193c0656,USER,e6b850ee-d389-457c-adba-190f0295fbb2,part_off
4,USER,49ed3aa2-5f00-4658-9bab-6d21648f1a95,GROUP,8f199821-d7c4-4ef9-ac61-3d081d58da45,belong_to
4,GROUP,8f199821-d7c4-4ef9-ac61-3d081d58da45,USER,49ed3aa2-5f00-4658-9bab-6d21648f1a95,part_off
5,USER,055f8508-b118-4a98-8f30-a7ffa0e617ed,GROUP,f2a6eb9e-937c-49d1-a875-d6501210181a,belong_to
5,GROUP,f2a6eb9e-937c-49d1-a875-d6501210181a,USER,055f8508-b118-4a98-8f30-a7ffa0e617ed,part_off
6,USER,d9cd47c3-945c-4dce-9b7e-d9b68f4b07b0,GROUP,482d091f-5a7a-4392-901c-7a88822f036c,belong_to
6,GROUP,482d091f-5a7a-4392-901c-7a88822f036c,USER,d9cd47c3-945c-4dce-9b7e-d9b68f4b07b0,part_off
7,USER,aac55bff-d899-4ffd-bbf8-6e79f2859d4f,GROUP,5f852f00-8635-4cc2-a7c3-8a6f523155a0,belong_to
7,GROUP,5f852f00-8635-4cc2-a7c3-8a6f523155a0,USER,aac55bff-d899-4ffd-bbf8-6e79f2859d4f,part_off
8,USER,1fa6bedc-0af5-4c0a-af4f-07195e147670,GROUP,adf541e0-e08b-4f15-92e5-440bc2a34a86,belong_to
8,GROUP,adf541e0-e08b-4f15-92e5-440bc2a34a86,USER,1fa6bedc-0af5-4c0a-af4f-07195e147670,part_off
9,USER,2fb304d1-0439-434b-9812-75291e3a5262,GROUP,24a57cde-dca3-49d6-83f1-0baddea38d3a,belong_to
9,GROUP,24a57cde-dca3-49d6-83f1-0baddea38d3a,USER,2fb304d1-0439-434b-9812-75291e3a5262,part_off
10,USER,a6aaa6a6-b9ac-4a08-b595-bb1f9f38297a,GROUP,7e18e559-8f55-412c-8bbd-371d3d61572c,belong_to
10,GROUP,7e18e559-8f55-412c-8bbd-371d3d61572c,USER,a6aaa6a6-b9ac-4a08-b595-bb1f9f38297a,part_off
11,USER,cc06cf7a-1818-46cd-bff3-10859b9dcea2,GROUP,803b42df-f897-4e1a-9c85-defd84b3c822,belong_to
11,GROUP,803b42df-f897-4e1a-9c85-defd84b3c822,USER,cc06cf7a-1818-46cd-bff3-10859b9dcea2,part_off
12,USER,5803e41e-f6cb-4e9a-9a79-14885e710e35,GROUP,cd0ecf42-bf01-4fef-b238-c08342543bd0,belong_to
12,GROUP,cd0ecf42-bf01-4fef-b238-c08342543bd0,USER,5803e41e-f6cb-4e9a-9a79-14885e710e35,part_off
13,USER,8cb8d453-5bc5-4eec-99ec-61f5881cec66,GROUP,7ece55b3-ec01-4971-8454-af43ddbdaa1c,belong_to
13,GROUP,7ece55b3-ec01-4971-8454-af43ddbdaa1c,USER,8cb8d453-5bc5-4eec-99ec-61f5881cec66,part_off
14,USER,121e4285-b068-45b3-9531-89534a8ea18e,GROUP,fcecbd6a-2177-4b94-a078-efc731f8f716,belong_to
14,GROUP,fcecbd6a-2177-4b94-a078-efc731f8f716,USER,121e4285-b068-45b3-9531-89534a8ea18e,part_off
15,USER,af374c28-6b0d-4401-a300-041e50736d5c,GROUP,2409d52b-4e59-48bc-8515-0d54d66d1063,belong_to
15,GROUP,2409d52b-4e59-48bc-8515-0d54d66d1063,USER,af374c28-6b0d-4401-a300-041e50736d5c,part_off
16,USER,7d31ebb3-f000-40da-9aee-ceb85a74d0de,GROUP,4b34c7ef-1896-455e-8a44-d0de474a5a4b,belong_to
16,GROUP,4b34c7ef-1896-455e-8a44-d0de474a5a4b,USER,7d31ebb3-f000-40da-9aee-ceb85a74d0de,part_off
17,USER,cc1ab92b-7e23-4891-92f3-bcbe523a6a64,GROUP,8330d328-33d3-4355-bd74-bd640480b5dc,belong_to
17,GROUP,8330d328-33d3-4355-bd74-bd640480b5dc,USER,cc1ab92b-7e23-4891-92f3-bcbe523a6a64,part_off
18,USER,6bbb4b92-937c-4f3b-b7d0-600d6edb5ac1,GROUP,12059fa3-1f58-4afe-ac9d-6282cc54cecd,belong_to
18,GROUP,12059fa3-1f58-4afe-ac9d-6282cc54cecd,USER,6bbb4b92-937c-4f3b-b7d0-600d6edb5ac1,part_off
