id,name,restrication
2b150d4d-39fa-42c6-b2a3-f8f73c8e51c4,Jyix,false
e62742d4-c895-4299-a548-b4673b317826,Gowpfaavlzcrnz,false
8a1cd128-c888-47ad-bb7e-a0a8f3e6b41d,Awvuzztmr,false
da6ceedc-a28c-499c-893e-e4a59e41136c,Pqtvepj,false
e816cc7f-ba9b-447d-9ae8-b00d735c2058,Sstyqdvgmtg,false
605343e1-92c7-4338-8ce9-4639a2d430af,Phjpcpd,false
70d2d6cc-2f37-4d52-b6e1-66ac89f17348,Ekdfriofp,true
a90f40e5-0ec3-464d-842d-4c08f2493518,Ldzxigote,true
60aeec48-4452-4fbf-9c4f-f080a5a3be03,Mfdfwbrwecc,true
0b1401c6-f883-4733-94dd-b86311f744e9,Rtfrioftezsfv,true
779f13be-59c4-4b2a-8d44-d6f325d3dd16,Boy,true
aa6f64bf-d0bd-4c18-9bd7-b50d8653efc6,Tdvbkeqf,true
990f2824-705d-4a00-b1bc-72a08412721d,Tunalijvny,true
d1394908-5d27-47f7-9657-034fbab8f459,Ypkdglelqex,false
414231b0-cca1-4df4-955c-b29c30f3ae19,Izgmv,false
e8df77f7-57af-43a7-b864-635305e0cb7c,Vbrkf,false
4cb71b74-3a7a-40b6-a898-1c370bf1e8fe,Rju,false
1879241b-0301-4651-902f-4f40aa197892,Rubs,false
c42578ef-fec5-461c-a4f7-fb00ca45638e,Oxxafymunr,false
8412d418-692f-4307-b906-ab4d2820e747,Assgyliydqc,true
8995d594-fa78-43ab-bef0-3f8fb66b743a,Lvfqjjk,false
abb03a22-0320-4f14-be91-d6c7eb5311bf,Qynvgnihodahjf,true
0b65859e-76ad-457c-b8de-37b519318cb1,Map,false
00ccd09b-4e67-4270-8520-6f1d82091036,Snnt,false
126bff18-d3d5-4fcc-91b4-0d13af6d43b7,Toyco,false
635d926f-15a5-4eef-85a6-2235be914f7b,Xeggwuwdlmrdr,false
01aa6e52-4653-48d6-8ff2-d5960c96a94c,Neymclzxa,false
5e22e37e-8034-4853-938f-13de62e2b895,Crdkdxdsavdtse,true
83e4fb41-53be-49d6-aff1-c1d1259d036c,Msm,false
9761cd1b-0279-4602-914a-ca1f981a9af2,Bratbv,true
204ce920-679c-49e1-b2ec-5669eb7b3439,Uizjqjznt,false
2ee00cd4-a30c-48e9-8f54-7e7e21dcaa8d,Yqhnqb,true
20fc46ad-0e9c-4096-9148-0bdc3a25b588,Axgpkstusrfazky,true
b17b36bb-c7ec-4810-8169-b04b3ee3b780,Ejknynlc,false
a239c0ac-6e40-4320-9cd3-7604c738ed8d,Srxobvjdolo,false
93567137-5977-4918-8476-63dae4abd138,Gitu,false
832cd1b5-28ca-4dc3-9f31-46ff3f5a4615,Tnewhic,true
768476d7-69da-4d9b-a67c-0861fbb26642,Yxwjzon,false
439a7635-0b8e-4aed-995e-6f657c40cb4d,Mhdhnfa,true
03ee02af-18d2-44df-9c4e-75d1f8fdf3b8,Vkdplppkvk,true
9ff2fbf9-c5d9-4372-9f08-2a623714876e,Phipwwiw,false
3404f590-c8f7-46a0-af5b-68a72bf694a1,Xhunh,true
112dfd61-fc87-4064-89ad-0357a5595bf9,Oeqm,true
6dafb059-0c8a-43d7-9553-d63a457667d3,Mpvj,false
2c16580f-b9ab-412f-ae71-1dd719da4e4d,Gudknb,false
72a1046e-8b80-45b5-94cf-b3fb1985bdb7,Vplbigpeg,false
eefad1bc-9e53-44f3-a34b-0b0600501dd0,Gwuzbnxlcv,false
