1,Sgjshqa,true
2,Bqh,false
3,Vhdeqiw,false
4,Bdfxcjbqfsua,false
5,Tmk,false
6,Yadjfwugy,false
7,Ydphasimqfrebl,true
8,Etqjjtvjrjjeeus,true
9,Ncydncnqwhia,true
10,Lco,true
11,Osauzkovktxfj,true
12,Ytdnrycl,true
13,Ncd,false
14,Bge,true
15,Arqbd,true
16,Hojr,false
17,Kbrnn,false
18,Mmgtxzhqkieipwq,true
19,Evkzqdtztfplr,true
20,Anv,true
21,Ujz,false
22,Rgzqtlwnsbiehd,true
23,Gocr,false
24,Uzyneumrcbtindk,true
25,Dwasgufeamiumxy,true
26,Oqikwy,false
27,Twma,false
28,Lgrkivwye,true
29,Eoqgzvzrzrgne,true
30,Iakg,true
31,Wpdcohmeljplxw,true
32,Bpsubwvcj,true
33,Bbz,false
34,Obbfqzzfiox,true
35,Ggdhjrmsemu,false
36,Rgkkwclvvhdd,true
37,Kvwrsuxoa,false
38,Afprqxigs,true
39,Ozqbuhjxjo,true
40,Uwvsjqypxya,false
41,Xwrszzextwruzzx,true
42,Olimzxl,true
43,Zeyl,false
44,Moasustwgnr,false
45,Heisqqy,false
46,Csyonl,false
47,Nrvtlxbcxwgc,false
48,Hsnej,false
49,Jfglgpouruf,true
50,Addawppufw,false
51,Erwujgrbxmxtem,false
52,Icqnloseiomx,false
53,Tkxuxteoxxx,true
54,Omkkelmgjsvasu,true
55,Ltfolmiawn,true
56,Ceqcm,true
57,Smvsnp,true
58,Humelv,true
59,Wmfn,true
60,Zjuxhdflov,true
61,Akitben,true
62,Bhucckhwdjjzia,false
63,Ivxwxt,true
64,Tnkweieap,false
65,Morpeimvg,true
66,Tideioit,true
67,Jynkscmqlpv,true
68,Lyaftsz,true
69,Ajjax,false
70,Ajoymxgsrepkznt,true
71,Ggteztawkbe,false
72,Ajzkopgugxteov,false
73,Qmsifmailorbm,true
74,Rwpezdm,false
75,Stvupymncsbpb,false
76,Mmhq,false
77,Rzxxzswwwb,true
78,Dvjejbfayfljzyw,false
79,Bwhbmrn,true
80,Kkdfyakhlukxryt,true
81,Lbcawrifhepa,false
82,Ocjmltz,false
83,Ohhtuddes,true
84,Wnacz,false
85,Gkjivtoumosizmk,false
86,Ueijjrwf,true
87,Ltf,false
88,Yrdfgygdllbho,false
89,Gvsbvyqaz,true
90,Hrsdjdmlotnevjt,false
91,Gdj,false
92,Vhdnrebezetpm,false
93,Fcodjucd,true
94,Zkfiilglgwa,true
95,Bfmoatcrp,false
96,Lcowzivajtlwze,false
97,Usfkihmndsu,false
98,Xozaea,false
99,Zod,true
100,Nexwb,true
101,Htnjkmgeum,false
102,Hmhhxoimuas,true
103,Gauxkvplgkpllny,false
104,Mdvriqwr,true
105,Psvjzxxnjxghnl,true
106,Ebuspbpbdl,false
107,Ayrvosxv,true
