1,Assistant_Manger,17
2,Manager,19
3,Staff,10
4,Assistant_Manger,17
5,Employee,15
6,Worker,13
7,Assistant_Manger,17
8,Staff,10
9,Employee,15
10,Assistant_Manger,17
11,Employee,15
12,Employee,15
13,Manager,19
14,Staff,10
15,Manager,19
16,Manager,19
17,Manager,19
18,Assistant_Manger,17
19,Employee,15
20,Manager,19
21,Staff,10
22,Employee,15
23,Worker,13
24,Manager,19
25,Staff,10
26,Manager,19
27,Employee,15
28,Assistant_Manger,17
29,Staff,10
30,Manager,19
31,Worker,13
32,Manager,19
33,Employee,15
34,Staff,10
35,Employee,15
36,Assistant_Manger,17
37,Employee,15
38,Worker,13
39,Manager,19
40,Staff,10
41,Assistant_Manger,17
42,Employee,15
43,Employee,15
44,Worker,13
45,Worker,13
46,Staff,10
47,Assistant_Manger,17
48,Manager,19
49,Manager,19
50,Manager,19
51,Assistant_Manger,17
52,Assistant_Manger,17
53,Employee,15
54,Manager,19
55,Assistant_Manger,17
56,Assistant_Manger,17
57,Worker,13
58,Staff,10
59,Manager,19
60,Manager,19
61,Manager,19
62,Worker,13
63,Staff,10
64,Manager,19
65,Employee,15
66,Assistant_Manger,17
67,Manager,19
68,Assistant_Manger,17
69,Staff,10
70,Manager,19
71,Staff,10
72,Manager,19
73,Worker,13
74,Worker,13
75,Manager,19
76,Manager,19
77,Worker,13
78,Employee,15
79,Worker,13
80,Assistant_Manger,17
81,Assistant_Manger,17
82,Employee,15
83,Manager,19
84,Worker,13
85,Assistant_Manger,17
86,Employee,15
87,Employee,15
88,Assistant_Manger,17
89,Employee,15
90,Manager,19
91,Staff,10
92,Employee,15
93,Worker,13
94,Manager,19
95,Assistant_Manger,17
96,Worker,13
97,Worker,13
98,Employee,15
99,Staff,10
100,Assistant_Manger,17
101,Assistant_Manger,17
102,Worker,13
103,Manager,19
104,Employee,15
105,Manager,19
106,Manager,19
107,Manager,19
108,Manager,19
109,Employee,15
110,Assistant_Manger,17
111,Manager,19
112,Staff,10
113,Assistant_Manger,17
114,Employee,15
115,Staff,10
116,Assistant_Manger,17
